-94280.4, -166223, 48614.3
104389, -286165, 68031.6
-144166, -387741, 46727.2
66111.2, 183509, -47495.7
-79383.4, 314190, 24044.9
-49025.2, -154357, 110998
76619, -156413, 289820
9058.71, 309773, -186951
91470, 90394.9, 24111.8
-107039, 84350.8, -25624.3
-76624.8, 118544, -56112.4
14410.9, -206171, 238208
68654.3, 96580.6, -51269.8
-159328, -120896, 106064
-79658.3, 77932.2, -20823.7
-29487.9, -106165, -43155.5
-47193.9, -269170, 140400
-99413.5, 110817, 31546.8
-124070, 136038, -42638.8
85846.7, 217428, 64661.8
-141718, -157865, 88149.3
-129898, 128474, -57254.3
111405, 288732, -175168
-11482.5, 167400, -63467.1
95593.2, 166776, -58844.1
-52682.7, 110453, -93543.6
-96253.8, 145943, 51032.7
-5027.99, 123895, -208230
30640.5, 62857.7, -92626.2
-103512, -441443, 296088
67941.9, -102026, 8657.89
40143.7, -146589, 246650
-60573.1, -104302, 25808.1
-82950.4, 234734, -68343.9
-10151.8, -65731.7, -42783.2
-66767.6, -114477, -64825
15663.5, 60675.1, -102960
-35886.2, 145883, 28287.9
107971, 199986, -263346
-1029.41, -175483, 156471
137934, -150851, 201583
-63910.1, -64394.8, 4814.23
313.293, -145867, 144325
68064.3, -213482, -114289
-17720.5, 163797, -117531
-21792.3, -278747, 135774
1650.42, -131948, 25385.2
388389, 312091, -44419.1
-72659.1, -156124, 44745.6
-134027, -146361, 17941.9
-78995, -141289, 47473
-37982.9, 98690.7, -195153
66584.7, -127722, 66584.7
-110946, 246670, -69012.2
44119.6, -131302, 127459
-41495.4, 69290.4, -154984
-117226, 265585, -217906
-16765.6, 100024, 45168.5
58789.2, 120664, 20384.7
-14158.2, -104040, 211642
25516.1, -138938, 1670.13
50511, 54084.8, -85545.4
-67757.9, -164159, 223125
190053, -151106, 199113
87289.6, -225354, -129387
126129, 236394, -597.073
-39843.6, -290118, 162420
81571.8, 103491, -52903.1
-10130.3, 98690.5, -85643
65357.6, 92400.3, -113533
36703.5, -116385, 5128.39
25150.4, -98727.4, 142532
75378.4, 169082, -268767
36477.7, 33954.2, 5592.48
-33914.1, 65923.7, 34757.7
41550.3, 125494, 33987.8
-89490.9, 113042, 38792.1
15303.5, -115889, 84471.7
-109201, -121606, 245260
14669.4, 232110, -16599.7
-158287, -186539, 111885
